Abouriou
Acolon
Agiorgitiko
Aglianico
Airén
Albillo
Aleatico
Alfrocheiro Preto
Alicante Bouschet
Aligoté
Alphonse-Lavallée
Alvarinho
André
Angela
Ansonica
Arbois
Arinto
Arneis
Assyrtiko
Athiri
Autrichien
Auxerrois
Azal
Azal Tinto
Bacchus
Baga
Barbera
Baron
Bianca
Biancolella
Blauburger
Blauer Portugieser
Blauer Wildbacher
Blaufränkisch
Boal
Bobal
Bonarda
Borba
Borraçal
Bosco
Bourboulenc
Bouvier
Bovale Sardo
Brachetto
Bric
Bronner
Brunello
Bual
Bukettraube
Cabernet Cubin
Cabernet Dorio
Cabernet Dorsa
Cabernet Franc
Cabernet Mitos
Cabernet Sauvignon
Caladoc
Canaiolo
Cantaro
Carignan
Carmine
Carménère
Carricante
Catarratto
Cesanese
Chambourcin
Chardonnay
Chenin Blanc
Cinsault
Cococciola
Colombard
Colorino
Cortese
Corvina Veronese
Counoise
Croatina
Dakapo
Diamond
Dolcetto
Domina
Dornfelder
Doña Blanca
Dunkelfelder
Durif
Ehrenfelser
Elbling
Enantio
Erbaluce
Espadeiro
Faber
Faberrebe
Falanghina
Favorita
Fernão Pires
Feteascã neagrã
Fiano
Flora
Folle Blanche
Franconia
Frappato
Friulano
Frühroter Veltliner
Furmint
Gaglioppo
Gamaret
Gamay
Garganega
Garnacha
Gelber Muskateller
Gewürztraminer
Glera
Godello
Goldriesling
Graciano
Grauburgunder
Grechetto
Greco Bianco
Grenache Blanc
Grenache Gris
Grenache Noir
Grignolino
Grillo
Groppello Gentile
Gros Manseng
Grüner Veltliner
Gutedel
Helios
Huxelrebe
Hölder
Isabella
Juwel
Kadarka
Kerner
Kotsifali
Lagrein
Lambrusco Grasparossa
Lemberger
Lindenblättriger
Listán Negro
Loureiro
Macabeo
Magliocco Canino
Malbec
Malvar
Malvasia
Manzoni Bianco
Marzemino
Mavrodaphne
Mavrud
Mazuelo
Melnik
Melon de Bourgogne
Mencia
Merlot
Merlot Blanc
Merseguera
Mission
Molinara
Monastrell
Montepulciano
Morillon
Morio-Muskat
Moscatel
Moscato
Moscato Giallo
Moschofilero
Muscadelle
Muscaris
Muskat Trollinger
Muskat-Ottonel
Muskateller
Müller-Thurgau
Nasco
Nebbiolo
Negrara
Negroamaro
Nero
Nero d Avola
Neuburger
Norton
Nosiola
Nuragus
Négrette
Optima
Ortega
Othello
Pais
Palomino
Parellada
Passerina
País
Pecorino
Pedro Ximénez
Periquita
Perle
Perricone
Petit Manseng
Petit Verdot
Petite Arvine
Petite Sirah
Piedirosso
Pinot Meunier
Pinot Noir
Pinotage
Prieto Picudo
Primitivo
Prior
Prugnolo
Rabigato
Raboso
Raboso Piave
Refosco
Refosco dal Peduncolo Rosso
Regent
Reichensteiner
Ribolla
Ribolla Gialla
Rieslaner
Riesling
Rkatsiteli
Roditis
Rondinella
Roter Muskateller
Roter Veltliner
Rotgipfler
Roussanne
Ruby Cabernet
Sagrantino
Samtrot
Sangiovese
Sauvignon Blanc
Sauvignon Rouge
Savatiano
Scheurebe
Schwarzriesling
Select
Septimer
Sercial
Siegerrebe
Silvaner
Sirius
Solaris
Sousão
Souvignier gris
St. Laurent
Syrah/Shiraz
Sémillon
Tannat
Tauberschwarz
Tempranillo
Teroldego
Timorasso
Tinta Barroca
Tocai Friulano
Torbato
Torrontés
Touriga Nacional
Trajadura
Traminer
Trebbiano
Troia
Trollinger
Ugni Blanc
Uhudler
Verdeca
Verdejo
Verdelho
Verdicchio
Vermentino
Vernaccia
Vernatsch
Vespolina
Viognier
Viosinho
Vital
Viura
Weißburgunder
Welschriesling
Xarell-io
Xarello
Zierfandler
ZierfandlerAbbuoto
Zweigelt
